t_code,t_type,depart_sta,arrive_sta,depart_ts,arrive_ts
G5819,动感号,福田,香港西九龙,07:40,07:54
G5625,动感号,福田,香港西九龙,07:48,08:02
G6539,复,福田,香港西九龙,08:01,08:15
G5821,动感号,福田,香港西九龙,08:42,08:56
G5601,复,福田,香港西九龙,09:28,09:42
G5811,动感号,福田,香港西九龙,09:46,10:00
G6579,复,福田,香港西九龙,10:03,10:17
G5815,动感号,福田,香港西九龙,10:50,11:04
G5817,动感号,福田,香港西九龙,11:55,12:09
G5857,动感号,福田,香港西九龙,13:00,13:15
G6535,复,福田,香港西九龙,13:11,13:25
G5801,复,福田,香港西九龙,13:30,13:44
G3001,N/A,福田,香港西九龙,13:47,14:01
G5807,动感号,福田,香港西九龙,14:00,14:14
G3003,N/A,福田,香港西九龙,14:18,14:32
G5803,复,福田,香港西九龙,14:34,14:48
G5809,动感号,福田,香港西九龙,15:10,15:24
G5859,动感号,福田,香港西九龙,15:24,15:38
G5805,动感号,福田,香港西九龙,15:57,16:12
G6557,N/A,福田,香港西九龙,16:03,16:18
G5635,动感号,福田,香港西九龙,16:35,16:49
G5827,动感号,福田,香港西九龙,16:57,17:11
G5813,动感号,福田,香港西九龙,17:42,17:56
G5829,动感号,福田,香港西九龙,18:03,18:17
G6585,动感号,福田,香港西九龙,18:57,19:11
G5861,动感号,福田,香港西九龙,19:06,19:20
G5831,动感号,福田,香港西九龙,19:32,19:46
G5823,动感号,福田,香港西九龙,20:40,20:54
G5655,动感号,福田,香港西九龙,21:25,21:39
G305,复,福田,香港西九龙,21:31,21:45
G5825,动感号,福田,香港西九龙,21:55,22:09
G5820,动感号,香港西九龙,福田,07:08,07:22
G6382,复,香港西九龙,福田,07:25,07:39
G5636,动感号,香港西九龙,福田,07:36,07:50
G5822,动感号,香港西九龙,福田,08:12,08:26
G5812,动感号,香港西九龙,福田,09:15,09:29
G5816,动感号,香港西九龙,福田,10:20,10:34
G5818,动感号,香港西九龙,福田,11:24,11:38
G6556,N/A,香港西九龙,福田,12:21,12:35
G6516,复,香港西九龙,福田,12:26,12:40
G5858,动感号,香港西九龙,福田,12:31,12:45
G5644,动感号,香港西九龙,福田,12:41,12:55
G5802,复,香港西九龙,福田,12:55,13:09
G6530,复,香港西九龙,福田,13:23,13:37
G5808,动感号,香港西九龙,福田,13:28,13:42
G6536,复,香港西九龙,福田,13:45,13:59
G5804,复,香港西九龙,福田,14:03,14:17
G5810,动感号,香港西九龙,福田,14:36,14:50
G5860,动感号,香港西九龙,福田,14:43,14:57
G6542,复,香港西九龙,福田,15:08,15:22
G5606,复,香港西九龙,福田,15:20,15:34
G5806,动感号,香港西九龙,福田,15:25,15:39
G5828,动感号,香港西九龙,福田,16:25,16:39
G6538,复,香港西九龙,福田,17:07,17:21
G5814,动感号,香港西九龙,福田,17:12,17:26
G5830,动感号,香港西九龙,福田,17:33,17:47
G5862,动感号,香港西九龙,福田,18:33,18:47
G5832,动感号,香港西九龙,福田,19:01,19:15
G6588,动感号,香港西九龙,福田,20:01,20:15
G5824,动感号,香港西九龙,福田,20:07,20:21
G5614,复,香港西九龙,福田,20:42,20:56
G5826,动感号,香港西九龙,福田,21:15,21:29
G5604,复,香港西九龙,福田,21:46,22:00